time,open,high,low,close,volume,close_time
1716386400000,69586.88000000,69655.00000000,69435.30000000,69531.96000000,274.82443000,1716387299999
1716387300000,69531.95000000,70099.46000000,69490.00000000,69704.01000000,839.16092000,1716388199999
1716388200000,69704.01000000,69863.05000000,69610.00000000,69821.14000000,292.40213000,1716389099999
1716389100000,69821.15000000,70180.00000000,69808.34000000,70114.63000000,560.91189000,1716389999999
1716390000000,70114.63000000,70285.37000000,69933.34000000,69972.64000000,417.29293000,1716390899999
1716390900000,69972.63000000,70268.00000000,69922.37000000,70215.97000000,253.69967000,1716391799999
1716391800000,70215.98000000,70591.00000000,70133.52000000,70500.50000000,391.16699000,1716392699999
1716392700000,70500.50000000,70591.00000000,70350.47000000,70455.90000000,364.94941000,1716393599999
1716393600000,70455.89000000,70665.53000000,70285.71000000,70661.99000000,330.62689000,1716394499999
1716394500000,70662.00000000,70666.00000000,70370.00000000,70395.99000000,221.45408000,1716395399999
1716395400000,70395.99000000,70453.96000000,70179.58000000,70292.44000000,274.09321000,1716396299999
1716396300000,70292.44000000,70354.22000000,70211.69000000,70229.88000000,228.24853000,1716397199999
1716397200000,70229.87000000,70252.20000000,70085.99000000,70180.00000000,265.00263000,1716398099999
1716398100000,70180.00000000,70459.91000000,70144.16000000,70256.70000000,357.82115000,1716398999999
1716399000000,70256.69000000,70280.00000000,69669.19000000,69775.81000000,650.18726000,1716399899999
1716399900000,69775.82000000,69922.09000000,69674.36000000,69863.52000000,388.37417000,1716400799999
1716400800000,69863.52000000,69901.66000000,69554.76000000,69687.92000000,482.36854000,1716401699999
1716401700000,69687.92000000,69712.81000000,69276.53000000,69412.85000000,687.11435000,1716402599999
1716402600000,69412.85000000,69546.40000000,69228.64000000,69491.26000000,868.01940000,1716403499999
1716403500000,69491.26000000,69688.99000000,69480.00000000,69574.60000000,463.61053000,1716404399999
1716404400000,69574.60000000,69714.28000000,69485.00000000,69571.00000000,513.71657000,1716405299999
1716405300000,69571.00000000,69653.84000000,69453.13000000,69616.53000000,163.03386000,1716406199999
1716406200000,69616.52000000,69757.17000000,69612.00000000,69639.10000000,153.85148000,1716407099999
1716407100000,69639.11000000,69800.91000000,69570.00000000,69637.47000000,226.37680000,1716407999999
1716408000000,69637.48000000,69848.87000000,69589.46000000,69814.96000000,503.65734000,1716408899999
1716408900000,69814.97000000,69976.00000000,69580.71000000,69580.72000000,495.12930000,1716409799999
1716409800000,69580.71000000,69655.70000000,69397.25000000,69508.01000000,308.59805000,1716410699999
1716410700000,69508.00000000,69582.29000000,69442.01000000,69442.01000000,160.36902000,1716411599999
1716411600000,69442.02000000,69450.00000000,68842.19000000,69086.01000000,794.71529000,1716412499999
1716412500000,69086.01000000,69371.59000000,69060.98000000,69342.02000000,265.98050000,1716413399999
1716413400000,69342.02000000,69665.61000000,69300.00000000,69439.50000000,313.12446000,1716414299999
1716414300000,69439.50000000,69580.00000000,69400.00000000,69497.77000000,157.29019000,1716415199999
1716415200000,69497.77000000,69550.00000000,69314.75000000,69389.06000000,204.52673000,1716416099999
1716416100000,69389.06000000,69390.80000000,69241.36000000,69335.99000000,218.54354000,1716416999999
1716417000000,69335.98000000,69335.99000000,69075.00000000,69082.01000000,285.12433000,1716417899999
1716417900000,69082.00000000,69188.24000000,69054.01000000,69141.28000000,245.28459000,1716418799999
1716418800000,69141.28000000,69233.69000000,69058.08000000,69144.18000000,301.61512000,1716419699999
1716419700000,69144.17000000,69144.18000000,69050.00000000,69067.19000000,45.34446000,1716420599999
