time,open,high,low,close,volume,close_time
1715212800000,61138.0,61220.3,61090.0,61200.0,74510,1715213099999
1715213100000,61199.8,61206.6,61148.0,61165.7,38167,1715213399999
1715213400000,61165.7,61278.0,61137.3,61220.0,44992,1715213699999
1715213700000,61220.1,61242.6,61142.0,61189.5,35530,1715213999999
1715214000000,61189.5,61267.6,61189.4,61261.9,27387,1715214299999
1715214300000,61261.9,61332.0,61216.0,61314.4,44252,1715214599999
1715214600000,61315.0,61340.0,61268.8,61326.0,24129,1715214899999
1715214900000,61326.0,61360.2,61280.1,61348.2,29194,1715215199999
1715215200000,61348.2,61417.5,61329.3,61394.0,49011,1715215499999
1715215500000,61394.0,61394.0,61330.7,61372.9,22218,1715215799999
1715215800000,61372.9,61388.0,61308.4,61386.0,32294,1715216099999
1715216100000,61386.0,61408.8,61346.0,61346.0,18118,1715216399999
1715216400000,61346.0,61430.7,61323.4,61400.8,23975,1715216699999
1715216700000,61400.8,61461.7,61360.0,61416.0,33810,1715216999999
1715217000000,61416.0,61485.4,61415.9,61484.4,38451,1715217299999
1715217300000,61484.3,61484.3,61416.5,61448.0,32896,1715217599999
1715217600000,61448.0,61458.0,61408.0,61450.0,25604,1715217899999
1715217900000,61450.0,61477.3,61426.1,61455.1,32763,1715218199999
1715218200000,61455.1,61462.0,61400.8,61444.1,71738,1715218499999
1715218500000,61444.1,61444.1,61396.0,61396.0,24855,1715218799999
1715218800000,61396.0,61434.0,61366.0,61406.8,29403,1715219099999
1715219100000,61406.7,61450.4,61406.7,61449.9,22161,1715219399999
1715219400000,61450.0,61450.0,61437.1,61450.0,22044,1715219699999
1715219700000,61450.0,61518.0,61450.0,61499.7,35605,1715219999999
1715220000000,61499.7,61521.9,61471.3,61488.4,49772,1715220299999
1715220300000,61488.4,61494.0,61478.0,61484.6,23198,1715220599999
1715220600000,61484.6,61493.9,61437.4,61492.1,30632,1715220899999
1715220900000,61492.1,61516.3,61488.0,61507.5,29210,1715221199999
1715221200000,61507.5,61517.5,61491.0,61500.0,20665,1715221499999
1715221500000,61500.0,61548.6,61500.0,61548.6,24314,1715221799999
1715221800000,61548.6,61565.5,61474.6,61525.8,48152,1715222099999
1715222100000,61525.8,61600.7,61525.7,61600.7,94494,1715222399999
1715222400000,61600.7,61604.5,61595.2,61604.5,167729,1715222699999
1715222700000,61604.4,61604.5,61574.0,61581.0,101228,1715222999999
1715223000000,61581.0,61604.5,61581.0,61604.5,32708,1715223299999
1715223300000,61604.5,61604.5,61597.3,61600.0,39288,1715223599999
1715223600000,61600.1,61722.3,61577.9,61672.8,168601,1715223899999
1715223900000,61672.8,61751.1,61672.8,61693.9,196154,1715224199999
1715224200000,61693.9,61693.9,61470.0,61488.0,109001,1715224499999
1715224500000,61488.0,61500.0,61376.1,61411.8,52215,1715224799999
1715224800000,61411.8,61463.1,61411.7,61458.3,39301,1715225099999
1715225100000,61458.3,61465.4,61343.2,61465.4,57062,1715225399999
1715225400000,61465.4,61559.1,61465.4,61552.0,43449,1715225699999
1715225700000,61552.0,61652.0,61536.0,61558.0,33713,1715225999999
1715226000000,61558.0,61609.5,61558.0,61607.3,9661,1715226299999
1715226300000,61607.2,61607.2,61552.1,61586.9,27069,1715226599999
1715226600000,61586.9,61679.7,61580.1,61634.8,20802,1715226899999
1715226900000,61634.1,61650.9,61607.7,61613.8,25052,1715227199999
1715227200000,61613.9,61641.9,61583.3,61586.7,24755,1715227499999
1715227500000,61586.7,61692.2,61586.7,61686.0,28584,1715227799999
1715227800000,61685.9,61686.0,61634.8,61646.1,27221,1715228099999
1715228100000,61646.1,61694.5,61614.1,61634.1,43607,1715228399999
1715228400000,61634.1,61634.1,61532.1,61562.1,29604,1715228699999
1715228700000,61562.1,61583.9,61458.1,61485.9,31220,1715228999999
1715229000000,61486.0,61486.0,61380.1,61482.3,44325,1715229299999
1715229300000,61482.3,61532.0,61434.6,61485.5,83380,1715229599999
1715229600000,61485.5,61500.0,61465.9,61487.9,101476,1715229899999
1715229900000,61487.9,61500.0,61487.9,61499.9,26311,1715230199999
1715230200000,61499.9,61499.9,61431.5,61481.1,27551,1715230499999
1715230500000,61481.1,61485.9,61425.2,61439.4,49256,1715230799999
1715230800000,61439.4,61490.8,61431.3,61478.0,30433,1715231099999
1715231100000,61478.0,61494.3,61477.9,61494.3,12040,1715231399999
1715231400000,61494.3,61500.0,61492.6,61500.0,94431,1715231699999
1715231700000,61500.0,61500.0,61488.3,61497.0,76833,1715231999999
1715232000000,61497.0,61647.7,61497.0,61588.0,261632,1715232299999
1715232300000,61587.9,61597.8,61429.2,61429.2,73364,1715232599999
1715232600000,61429.1,61501.3,61379.6,61492.5,72808,1715232899999
1715232900000,61492.6,61492.6,61444.0,61490.0,20820,1715233199999
1715233200000,61490.3,61500.0,61488.9,61499.9,71765,1715233499999
1715233500000,61499.9,61500.0,61490.0,61500.0,27220,1715233799999
1715233800000,61500.0,61548.3,61489.5,61548.3,174935,1715234099999
1715234100000,61548.3,61598.8,61504.2,61504.2,45281,1715234399999
1715234400000,61504.2,61581.4,61504.2,61581.3,41813,1715234699999
1715234700000,61581.4,61676.6,61581.4,61676.6,39258,1715234999999
1715235000000,61677.0,61712.0,61654.0,61702.0,70899,1715235299999
1715235300000,61702.0,61702.0,61602.1,61609.2,55091,1715235599999
1715235600000,61609.2,61664.6,61580.0,61664.6,36983,1715235899999
1715235900000,61664.6,61700.0,61614.0,61676.2,28746,1715236199999
1715236200000,61676.3,61708.0,61604.4,61604.5,31938,1715236499999
1715236500000,61604.4,61618.8,61564.2,61618.6,16206,1715236799999
1715236800000,61618.6,61618.6,61537.8,61537.8,22392,1715237099999
1715237100000,61540.0,61540.1,61464.5,61500.0,37699,1715237399999
1715237400000,61500.0,61549.1,61470.1,61540.6,22547,1715237699999
1715237700000,61540.6,61594.4,61522.8,61552.0,18275,1715237999999
1715238000000,61552.0,61586.7,61478.0,61495.0,25308,1715238299999
1715238300000,61495.0,61535.3,61472.2,61482.0,20446,1715238599999
1715238600000,61482.0,61514.0,61440.5,61514.0,23814,1715238899999
1715238900000,61514.0,61528.1,61428.1,61484.3,33203,1715239199999
1715239200000,61484.3,61502.1,61440.0,61474.1,28002,1715239499999
1715239500000,61474.1,61497.2,61402.0,61452.0,26280,1715239799999
1715239800000,61452.0,61452.0,61386.0,61415.8,72812,1715240099999
1715240100000,61415.8,61415.8,61252.9,61344.0,102298,1715240399999
1715240400000,61344.0,61374.5,61324.0,61374.5,20242,1715240699999
1715240700000,61374.4,61374.4,61176.0,61271.8,170571,1715240999999
1715241000000,61271.7,61276.8,61066.1,61109.9,103372,1715241299999
1715241300000,61109.9,61195.5,61109.9,61195.4,54939,1715241599999
1715241600000,61195.4,61344.0,61184.2,61312.0,72702,1715241899999
1715241900000,61312.0,61324.0,61222.6,61245.9,32362,1715242199999
1715242200000,61246.0,61283.7,61095.3,61151.0,53427,1715242499999
1715242500000,61150.9,61284.7,61140.0,61243.5,53898,1715242799999
1715242800000,61243.5,61319.9,61228.6,61278.2,29812,1715243099999
1715243100000,61278.2,61348.0,61248.0,61248.0,33593,1715243399999
1715243400000,61248.0,61386.3,61248.0,61356.0,39621,1715243699999
1715243700000,61356.1,61382.0,61320.0,61320.9,22729,1715243999999
1715244000000,61320.9,61358.0,61311.2,61353.8,23456,1715244299999
1715244300000,61353.9,61386.4,61312.4,61317.1,98330,1715244599999
1715244600000,61317.1,61317.2,61206.0,61235.1,43398,1715244899999
1715244900000,61235.1,61250.0,61199.9,61250.0,33373,1715245199999
1715245200000,61250.0,61301.2,61112.6,61178.1,77917,1715245499999
1715245500000,61178.0,61218.0,61170.1,61217.9,33728,1715245799999
1715245800000,61217.9,61217.9,61120.1,61185.2,34271,1715246099999
1715246100000,61185.2,61185.2,61020.1,61038.0,92250,1715246399999
1715246400000,61038.0,61111.1,60929.4,60940.0,112167,1715246699999
1715246700000,60940.0,61051.4,60924.0,61013.9,108628,1715246999999
1715247000000,61014.0,61068.7,60936.0,60971.4,88064,1715247299999
1715247300000,60971.4,60996.0,60856.0,60989.0,152481,1715247599999
1715247600000,60989.0,61045.5,60970.6,61006.0,112738,1715247899999
1715247900000,61005.9,61045.5,60918.5,60982.0,83006,1715248199999
1715248200000,60982.0,61099.0,60966.0,61098.9,53563,1715248499999
1715248500000,61099.0,61229.5,61034.0,61229.4,169924,1715248799999
1715248800000,61229.4,61258.3,61070.0,61142.0,74634,1715249099999
1715249100000,61142.0,61148.0,61068.6,61124.0,47297,1715249399999
1715249400000,61124.0,61124.8,61042.0,61124.8,40737,1715249699999
1715249700000,61124.8,61124.8,60917.1,60950.1,76102,1715249999999
1715250000000,60950.0,61010.0,60918.1,60942.0,51360,1715250299999
1715250300000,60942.0,60967.3,60920.0,60963.9,47921,1715250599999
1715250600000,60963.9,61003.9,60922.0,60978.0,57569,1715250899999
1715250900000,60978.0,61073.2,60978.0,61042.0,48911,1715251199999
1715251200000,61042.0,61088.5,60979.4,61006.7,42447,1715251499999
1715251500000,61006.7,61128.0,61000.0,61088.5,36677,1715251799999
1715251800000,61088.5,61128.0,61040.1,61067.9,51659,1715252099999
1715252100000,61067.9,61067.9,60721.0,60753.5,321948,1715252399999
1715252400000,60753.5,60867.2,60566.0,60685.0,497266,1715252699999
1715252700000,60686.0,60795.8,60661.8,60748.0,86579,1715252999999
1715253000000,60748.0,60905.3,60748.0,60905.3,91458,1715253299999
1715253300000,60905.3,60939.0,60850.0,60880.0,52310,1715253599999
1715253600000,60880.0,60921.5,60874.0,60913.1,39947,1715253899999
1715253900000,60913.1,60982.0,60906.0,60906.1,59125,1715254199999
1715254200000,60906.1,60976.0,60869.0,60976.0,54667,1715254499999
1715254500000,60976.0,61007.1,60950.0,61007.0,28313,1715254799999
1715254800000,61007.0,61111.5,60946.8,61089.9,122347,1715255099999
1715255100000,61090.0,61130.2,61076.0,61088.0,58652,1715255399999
1715255400000,61088.0,61110.2,61034.1,61054.1,42487,1715255699999
1715255700000,61054.1,61054.1,61006.0,61006.0,20876,1715255999999
1715256000000,61006.0,61115.3,60973.4,61051.0,58516,1715256299999
1715256300000,61051.0,61156.0,61051.0,61115.6,55452,1715256599999
1715256600000,61115.6,61171.6,61112.1,61165.9,78231,1715256899999
1715256900000,61165.9,61190.7,61131.8,61176.6,36682,1715257199999
1715257200000,61178.1,61237.5,61133.7,61146.0,67804,1715257499999
1715257500000,61146.1,61167.6,61143.3,61164.0,19190,1715257799999
1715257800000,61164.0,61568.0,61164.0,61344.0,401178,1715258099999
1715258100000,61345.9,61405.3,61261.7,61308.3,78866,1715258399999
1715258400000,61306.0,61489.2,61285.0,61422.3,90680,1715258699999
1715258700000,61422.0,61456.0,61357.0,61408.1,72751,1715258999999
1715259000000,61408.1,61482.6,61384.1,61468.1,81466,1715259299999
1715259300000,61468.0,61517.9,61448.0,61462.6,83500,1715259599999
1715259600000,61462.7,61487.5,61347.3,61380.0,56099,1715259899999
1715259900000,61380.0,61462.8,61379.9,61412.3,49716,1715260199999
1715260200000,61412.3,61463.8,61382.9,61413.8,62891,1715260499999
1715260500000,61414.0,61425.9,61362.6,61380.1,45858,1715260799999
1715260800000,61380.1,61395.9,61287.0,61357.5,73949,1715261099999
1715261100000,61357.5,61386.1,61304.1,61308.0,36236,1715261399999
1715261400000,61311.6,61380.0,61223.2,61223.2,94058,1715261699999
1715261700000,61223.1,61267.2,61065.1,61067.5,132878,1715261999999
1715262000000,61067.1,61067.1,60852.9,60995.7,306067,1715262299999
1715262300000,60995.7,61116.6,60821.7,61071.9,164628,1715262599999
1715262600000,61071.9,61209.3,61042.1,61070.0,65733,1715262899999
1715262900000,61070.1,61146.0,61032.5,61132.8,45751,1715263199999
1715263200000,61132.9,61247.9,61074.0,61238.1,81919,1715263499999
1715263500000,61240.0,61413.4,61220.9,61297.8,139121,1715263799999
1715263800000,61297.8,61463.8,61260.3,61279.5,104163,1715264099999
1715264100000,61279.5,61292.0,61112.1,61163.3,83767,1715264399999
1715264400000,61163.2,61207.9,61070.0,61175.3,76700,1715264699999
1715264700000,61172.0,61255.8,61144.3,61183.1,64837,1715264999999
1715265000000,61183.1,61353.9,61183.1,61319.5,86071,1715265299999
1715265300000,61319.5,61450.0,61308.0,61388.0,95250,1715265599999
1715265600000,61388.0,61423.8,61287.7,61350.0,95244,1715265899999
1715265900000,61350.0,61437.9,61316.1,61411.9,78894,1715266199999
1715266200000,61411.9,61415.3,61334.1,61380.1,34098,1715266499999
1715266500000,61380.2,61523.5,61370.0,61494.2,99096,1715266799999
1715266800000,61494.2,61540.2,61417.4,61532.9,70395,1715267099999
1715267100000,61532.9,61857.1,61530.1,61852.0,243787,1715267399999
1715267400000,61852.0,61954.9,61757.5,61842.0,375998,1715267699999
1715267700000,61840.0,61840.0,61632.0,61679.9,163054,1715267999999
1715268000000,61680.3,61874.4,61680.3,61841.9,125255,1715268299999
1715268300000,61842.0,62240.5,61841.9,62164.0,525322,1715268599999
1715268600000,62164.0,62209.8,61906.1,62074.0,389657,1715268899999
1715268900000,62074.0,62083.9,61937.8,61985.6,182915,1715269199999
1715269200000,61985.9,62128.7,61985.9,62072.0,120128,1715269499999
1715269500000,62072.0,62126.0,61905.2,61940.7,102299,1715269799999
1715269800000,61940.7,62044.0,61916.2,62004.1,154069,1715270099999
1715270100000,62004.1,62164.0,61962.4,62118.0,111942,1715270399999
1715270400000,62118.0,62219.0,62062.0,62196.6,385367,1715270699999
1715270700000,62199.9,62420.1,62199.9,62357.5,262326,1715270999999
1715271000000,62357.5,62470.5,62353.5,62414.7,180119,1715271299999
1715271300000,62414.0,62508.4,62372.0,62384.2,293722,1715271599999
1715271600000,62384.2,62627.8,62384.2,62624.6,207945,1715271899999
1715271900000,62624.6,62643.2,62462.1,62478.1,175869,1715272199999
1715272200000,62478.1,62503.5,62315.5,62356.1,185338,1715272499999
1715272500000,62356.1,62456.0,62326.0,62360.4,69277,1715272799999
1715272800000,62361.3,62435.9,62226.8,62270.0,256675,1715273099999
1715273100000,62270.0,62295.0,62033.3,62129.1,1030172,1715273399999
1715273400000,62129.0,62183.7,61954.1,61981.5,266172,1715273699999
1715273700000,61981.5,61991.2,61757.6,61807.5,354133,1715273999999
1715274000000,61807.4,61893.7,61680.6,61888.9,342023,1715274299999
1715274300000,61888.9,61945.9,61775.0,61912.1,140495,1715274599999
1715274600000,61912.0,61976.2,61864.1,61889.9,69562,1715274899999
1715274900000,61889.9,61908.0,61744.0,61774.0,92694,1715275199999
1715275200000,61774.0,61903.3,61738.9,61851.9,120663,1715275499999
1715275500000,61851.9,61954.0,61851.9,61929.0,48973,1715275799999
1715275800000,61929.0,62062.4,61877.9,61988.0,138079,1715276099999
1715276100000,61988.0,62023.9,61951.7,61957.3,51029,1715276399999
1715276400000,61957.4,62038.4,61957.4,62038.3,36780,1715276699999
1715276700000,62038.3,62135.4,62038.3,62077.9,61659,1715276999999
1715277000000,62077.9,62153.7,62059.1,62059.1,35554,1715277299999
1715277300000,62058.8,62083.8,61880.0,61884.1,190311,1715277599999
1715277600000,61884.1,61950.0,61818.0,61948.0,70400,1715277899999
1715277900000,61948.1,62015.7,61948.0,61957.9,35789,1715278199999
1715278200000,61957.9,62094.0,61944.6,62088.0,36605,1715278499999
1715278500000,62088.0,62135.4,62062.0,62062.0,36831,1715278799999
1715278800000,62062.1,62125.1,62022.7,62062.0,42483,1715279099999
1715279100000,62062.0,62148.8,62057.2,62057.2,26536,1715279399999
1715279400000,62057.2,62133.0,61971.2,61980.7,41812,1715279699999
1715279700000,61980.7,62041.5,61952.5,61980.3,55945,1715279999999
1715280000000,61980.2,62050.9,61941.4,62040.1,38591,1715280299999
1715280300000,62040.0,62125.0,62001.8,62125.0,34041,1715280599999
1715280600000,62125.0,62210.3,62125.0,62142.5,39707,1715280899999
1715280900000,62142.5,62212.0,62142.5,62210.0,26357,1715281199999
1715281200000,62210.0,62299.9,62188.0,62280.0,46987,1715281499999
1715281500000,62280.0,62360.0,62170.1,62171.9,84958,1715281799999
1715281800000,62171.9,62189.1,62150.0,62157.7,43973,1715282099999
1715282100000,62157.7,62244.5,62130.1,62240.0,50233,1715282399999
1715282400000,62240.0,62249.7,62182.1,62242.0,32682,1715282699999
1715282700000,62242.0,62270.7,62172.1,62270.7,38120,1715282999999
1715283000000,62270.7,62400.0,62242.1,62301.2,80179,1715283299999
1715283300000,62300.1,62316.4,62250.0,62302.2,23567,1715283599999
1715283600000,62302.2,62332.0,62247.6,62321.9,38929,1715283899999
1715283900000,62321.9,62327.5,62244.0,62294.9,49591,1715284199999
1715284200000,62294.9,62523.0,62243.1,62404.3,136005,1715284499999
1715284500000,62404.3,62446.5,62368.7,62416.9,69054,1715284799999
1715284800000,62416.9,62438.2,62352.1,62416.1,42493,1715285099999
1715285100000,62416.1,62552.0,62402.1,62528.0,84629,1715285399999
1715285400000,62528.0,62596.3,62494.0,62504.1,60458,1715285699999
1715285700000,62504.1,62504.1,62337.2,62337.2,59761,1715285999999
1715286000000,62337.2,62429.7,62337.2,62392.0,38043,1715286299999
1715286300000,62392.0,62429.9,62361.5,62380.1,35693,1715286599999
1715286600000,62380.1,62398.6,62305.9,62394.0,34474,1715286899999
1715286900000,62394.0,62509.1,62384.0,62464.5,40111,1715287199999
1715287200000,62464.0,62473.4,62431.5,62473.4,34631,1715287499999
1715287500000,62473.4,62539.7,62417.2,62506.0,46762,1715287799999
1715287800000,62506.0,62547.4,62492.1,62531.8,32280,1715288099999
1715288100000,62531.9,62613.9,62531.8,62584.0,70546,1715288399999
1715288400000,62584.0,62696.0,62572.2,62676.4,101074,1715288699999
1715288700000,62676.5,62782.0,62648.0,62768.0,125232,1715288999999
1715289000000,62768.0,62772.0,62640.0,62640.0,53491,1715289299999
1715289300000,62639.3,62639.3,62527.2,62564.1,45695,1715289599999
1715289600000,62564.1,62564.1,62441.1,62524.8,55589,1715289899999
1715289900000,62524.8,62558.2,62506.1,62510.0,29907,1715290199999
1715290200000,62510.0,62593.9,62460.0,62478.6,32707,1715290499999
1715290500000,62478.6,62545.7,62414.6,62414.6,26184,1715290799999
1715290800000,62414.5,62507.3,62395.4,62453.8,33578,1715291099999
1715291100000,62453.8,62488.6,62453.7,62488.6,10055,1715291399999
1715291400000,62488.6,62567.9,62388.1,62552.1,36949,1715291699999
1715291700000,62552.1,62552.1,62497.4,62500.8,19093,1715291999999
1715292000000,62500.9,62547.7,62454.0,62496.3,50461,1715292299999
1715292300000,62496.3,62593.0,62492.3,62554.0,59796,1715292599999
1715292600000,62554.0,62624.0,62542.0,62583.6,59946,1715292899999
1715292900000,62583.6,62600.0,62538.7,62582.3,126120,1715293199999
1715293200000,62582.3,62600.0,62582.3,62600.0,152188,1715293499999
1715293500000,62599.9,62705.7,62599.9,62705.7,246719,1715293799999
1715293800000,62705.6,62723.6,62618.0,62698.0,84346,1715294099999
1715294100000,62698.0,62904.0,62698.0,62827.6,171989,1715294399999
1715294400000,62827.7,62977.8,62802.0,62952.0,237769,1715294699999
1715294700000,62952.0,63276.7,62900.0,63160.2,381126,1715294999999
1715295000000,63160.2,63386.6,63134.0,63323.6,451574,1715295299999
1715295300000,63323.7,63351.5,63200.8,63245.7,146431,1715295599999
1715295600000,63245.8,63300.0,63166.6,63180.0,119415,1715295899999
1715295900000,63179.9,63211.9,63083.0,63092.0,154745,1715296199999
1715296200000,63092.1,63104.3,62971.6,63060.7,115359,1715296499999
1715296500000,63060.7,63060.7,62833.3,62938.7,317963,1715296799999
1715296800000,62938.6,62938.7,62838.3,62864.5,66838,1715297099999
1715297100000,62864.5,62943.6,62860.0,62896.0,61897,1715297399999
1715297400000,62896.0,62933.6,62862.1,62921.1,38408,1715297699999
1715297700000,62921.1,62921.2,62816.7,62855.9,50874,1715297999999
1715298000000,62855.9,62861.5,62826.1,62853.8,15748,1715298299999
1715298300000,62853.9,63037.6,62853.9,63026.0,118322,1715298599999
1715298600000,63026.0,63130.0,63020.2,63061.2,71007,1715298899999
1715298900000,63061.2,63081.3,62990.9,63034.2,47884,1715299199999
